,0,1,2,3
0,F&O Stock Name,Stock Symbol,Future Lot Size,Option Lot Size
1,Nifty Bank,BANKNIFTY,25,25
2,Nifty 50,NIFTY,75,75
3,ACC Limited,ACC,500,500
4,Ambuja Cements Ltd,AMBUJACEM,3000,3000
5,Apollo Hospitals Enter. L,APOLLOHOSP,250,250
6,Apollo Tyres Ltd,APOLLOTYRE,2500,2500
7,Ashok Leyland Ltd,ASHOKLEY,4500,4500
8,Bajaj Auto Limited,BAJAJ-AUTO,250,250
9,Aurobindo Pharma Ltd,AUROPHARMA,1300,1300
10,Bajaj Finserv Ltd.,BAJAJFINSV,125,125
11,Bajaj Finance Limited,BAJFINANCE,125,125
12,Federal Bank Ltd,FEDERALBNK,10000,10000
13,Bharat Electronics Ltd,BEL,3800,3800
14,Berger Paints (I) Ltd,BERGEPAINT,1100,1100
15,Bharat Forge Ltd,BHARATFORG,1500,1500
16,BHEL,BHEL,21000,21000
17,Bosch Limited,BOSCHLTD,50,50
18,Bharat Petroleum Corp Lt,BPCL,1800,1800
19,Cholamandalam In & Fin Co,CHOLAFIN,1250,1250
20,Cadila Healthcare Limited,CADILAHC,2200,2200
21,Adani Enterprises Limited,ADANIENT,1000,1000
22,Coal India Ltd,COALINDIA,3700,3700
23,Cummins India Ltd,CUMMINSIND,600,600
24,Divi’s Laboratories Ltd,DIVISLAB,400,400
25,Eicher Motors Ltd,EICHERMOT,350,350
26,Escorts India Ltd,ESCORTS,1100,1100
27,Cipla Ltd,CIPLA,650,650
28,GAIL (India) Ltd,GAIL,6100,6100
29,Glenmark Pharmaceuticals,GLENMARK,2300,2300
30,Godrej Consumer Products,GODREJCP,1000,1000
31,Dabur India Ltd,DABUR,1250,1250
32,Godrej Properties Ltd,GODREJPROP,650,650
33,Grasim Industries Ltd,GRASIM,475,475
34,Adani Port & Sez Ltd,ADANIPORTS,1250,1250
35,Havells India Limited,HAVELLS,500,500
36,HCL Technologies Ltd,HCLTECH,1400,1400
37,Asian Paints Limited,ASIANPAINT,300,300
38,Axis Bank Limited,AXISBANK,1200,1200
39,Bandhan Bank Limited,BANDHANBNK,1800,1800
40,HDFC Ltd,HDFC,300,300
41,HDFC Bank Ltd,HDFCBANK,550,550
42,Hindalco Industries Ltd,HINDALCO,2150,2150
43,Hindustan Petroleum Corp,HINDPETRO,2700,2700
44,Hindustan Unilever Ltd.,HINDUNILVR,300,300
45,Indiabulls Hsg Fin Ltd,IBULHSGFIN,3100,3100
46,Infosys Limited,INFY,1200,1200
47,ICICI Pru Life Ins Co Ltd,ICICIPRULI,1500,1500
48,Indraprastha Gas Ltd,IGL,1375,1375
49,Interglobe Aviation Ltd,INDIGO,500,500
50,Indusind Bank Limited,INDUSINDBK,800,800
52,Indian Oil Corp Ltd,IOC,5700,5700
53,ITC Ltd,ITC,3200,3200
54,Jindal Steel & Power Ltd,JINDALSTEL,2500,2500
55,Jubilant Foodworks Ltd,JUBLFOOD,500,500
56,Kotak Mahindra Bank Ltd,KOTAKBANK,400,400
57,L&T Finance Holdings Ltd,L&TFH,6800,6800
58,Larsen & Toubro Ltd.,LT,550,550
