,Name,OI
0,IDEA,"('IDEA', 948114720000000.0)"
1,TATAPOWER,"('TATAPOWER', 188978123250000.0)"
2,NATIONALUM,"('NATIONALUM', 176614734850000.0)"
3,BHEL,"('BHEL', 148518403425000.0)"
4,SAIL,"('SAIL', 147453590700000.0)"
5,PNB,"('PNB', 144231068800000.0)"
6,VEDL,"('VEDL', 141104837016000.0)"
7,ITC,"('ITC', 135926522880000.0)"
8,GMRINFRA,"('GMRINFRA', 111771292500000.0)"
9,BANKBARODA,"('BANKBARODA', 102882554190000.0)"
10,ICICIBANK,"('ICICIBANK', 100272559715625.0)"
11,TATAMOTORS,"('TATAMOTORS', 97749275917500.0)"
12,FEDERALBNK,"('FEDERALBNK', 97130520000000.0)"
13,INFY,"('INFY', 80989998786000.0)"
14,ADANIPORTS,"('ADANIPORTS', 79604312265625.0)"
15,BHARTIARTL,"('BHARTIARTL', 76866421470000.0)"
16,NMDC,"('NMDC', 71323575258000.0)"
17,IDFCFIRSTB,"('IDFCFIRSTB', 71306681940000.0)"
18,SBIN,"('SBIN', 65617778700000.0)"
19,ZEEL,"('ZEEL', 59975434800000.0)"
20,CANBK,"('CANBK', 53878878000000.0)"
21,ONGC,"('ONGC', 53820046896000.0)"
22,HCLTECH,"('HCLTECH', 42372035580000.01)"
23,NTPC,"('NTPC', 42311921940000.0)"
24,AXISBANK,"('AXISBANK', 42181343424000.0)"
25,RELIANCE,"('RELIANCE', 40497888328875.0)"
26,DLF,"('DLF', 39234250786500.0)"
27,TATASTEEL,"('TATASTEEL', 38198378480000.0)"
28,JSWSTEEL,"('JSWSTEEL', 35127970164000.0)"
29,ADANIENT,"('ADANIENT', 34925610000000.0)"
30,L&TFH,"('L&TFH', 34166158680000.0)"
31,WIPRO,"('WIPRO', 33594534144000.0)"
32,HDFCBANK,"('HDFCBANK', 30370402592750.0)"
33,JINDALSTEL,"('JINDALSTEL', 29736000000000.0)"
34,UPL,"('UPL', 28898087400000.0)"
35,PFC,"('PFC', 27754848576000.0)"
36,HINDALCO,"('HINDALCO', 27450491596500.0)"
37,SUNPHARMA,"('SUNPHARMA', 26837349000000.0)"
38,GAIL,"('GAIL', 26033009039999.996)"
39,RECLTD,"('RECLTD', 24978963600000.0)"
40,IOC,"('IOC', 23930928450000.0)"
41,COALINDIA,"('COALINDIA', 22528329453000.0)"
42,INDUSINDBK,"('INDUSINDBK', 21851501868000.0)"
43,TATACONSUM,"('TATACONSUM', 21525637895999.996)"
44,IBULHSGFIN,"('IBULHSGFIN', 21353778453000.0)"
45,BEL,"('BEL', 21276618000000.0)"
46,POWERGRID,"('POWERGRID', 20571283814399.996)"
47,BPCL,"('BPCL', 18036700920000.0)"
48,MANAPPURAM,"('MANAPPURAM', 17710353000000.0)"
49,CADILAHC,"('CADILAHC', 17257383000000.0)"
50,MCDOWELL-N,"('MCDOWELL-N', 17171198437500.0)"
51,AMBUJACEM,"('AMBUJACEM', 17114238900000.0)"
52,ASHOKLEY,"('ASHOKLEY', 16493847750000.0)"
53,LICHSGFIN,"('LICHSGFIN', 16445383200000.0)"
54,M&MFIN,"('M&MFIN', 15681097504800.0)"
55,TECHM,"('TECHM', 15440376276000.0)"
56,LT,"('LT', 14053924861625.0)"
57,TCS,"('TCS', 13832361337500.0)"
58,RBLBANK,"('RBLBANK', 13701747566000.0)"
59,HDFCLIFE,"('HDFCLIFE', 13697571228000.0)"
60,EXIDEIND,"('EXIDEIND', 13168706544000.002)"
61,AUROPHARMA,"('AUROPHARMA', 12490097880000.0)"
62,HDFC,"('HDFC', 12315019860000.0)"
63,BIOCON,"('BIOCON', 12310501830000.0)"
64,BANDHANBNK,"('BANDHANBNK', 11393714016000.0)"
65,PETRONET,"('PETRONET', 10981743300000.0)"
66,ESCORTS,"('ESCORTS', 10608031280000.0)"
67,HINDPETRO,"('HINDPETRO', 10429106805000.0)"
68,KOTAKBANK,"('KOTAKBANK', 10186196160000.0)"
69,IGL,"('IGL', 9246425332031.25)"
70,MOTHERSUMI,"('MOTHERSUMI', 9120710550000.0)"
71,SUNTV,"('SUNTV', 8590397287500.0)"
